godina,datum,lokalitet,vrsta_lat,vrsta_hr,brojnost,metoda,opazac,temperatura_C,vlaznost_pct
2020,2020-04-23,Risnjak,Sitta europaea,Brgljez,14,transekt,I.H.,15.7,80
2020,2020-04-23,Risnjak,Parus major,Velika sjenica,35,točkasta_metoda,D.T.,15.8,66
2020,2020-04-23,Risnjak,Phoenicurus ochruros,Crvenrepka,12,točkasta_metoda,I.H.,16.5,70
2020,2020-04-23,Risnjak,Accipiter gentilis,Jastreb kokošar,1,transekt,D.T.,19.5,76
2020,2020-04-23,Risnjak,Fringilla coelebs,Zeba,34,transekt,M.K.,,51
2020,2020-04-25,Risnjak,Parus major,Velika sjenica,29,IPA,D.T.,15,83
2020,2020-04-25,Risnjak,Turdus merula,Kos,23,točkasta_metoda,M.K.,17.2,67
2020,2020-04-25,Risnjak,Cyanistes caeruleus,Plavetna sjenica,18,točkasta_metoda,M.K.,15.9,58
2020,2020-04-25,Risnjak,Fringilla coelebs,Zeba,20,točkasta_metoda,S.B.,17.1,56
2020,2020-04-25,Risnjak,Sitta europaea,Brgljez,12,transekt,S.B.,,67
2020,2020-04-25,Risnjak,Phoenicurus ochruros,Crvenrepka,3,transekt,M.K.,15.7,57
2020,2020-04-25,Risnjak,Dendrocopos major,Veliki djetlić,11,točkasta_metoda,D.T.,12.9,74
2020,2020-05-02,Velebit,Fringilla coelebs,Zeba,50,IPA,D.T.,14.8,77
2020,2020-05-02,Velebit,Erithacus rubecula,Crvendać,24,transekt,S.B.,15.5,67
2020,2020-05-02,Velebit,Sitta europaea,Brgljez,21,transekt,A.P.,17.3,79
2020,2020-05-02,Velebit,Strix Uralskaensis,Uralska sova,4,IPA,I.H.,18.4,65
2020,2020-05-02,Velebit,Phoenicurus ochruros,Crvenrepka,15,transekt,I.H.,19.5,51
2020,2020-05-02,Velebit,Tetrao urogallus,Tetrijeb,6,transekt,A.P.,18.1,63
2020,2020-05-02,Velebit,Picus viridis,Zelena žuna,6,transekt,A.P.,19,55
2020,2020-05-02,Velebit,Accipiter gentilis,Jastreb kokošar,6,točkasta_metoda,A.P.,19.6,64
2020,2020-05-02,Velebit,Parus major,Velika sjenica,40,točkasta_metoda,M.K.,15.1,78
2020,2020-05-02,Velebit,Corvus corax,Gavran,8,IPA,D.T.,16.6,53
2020,2020-05-02,Velebit,Turdus merula,Kos,36,IPA,M.K.,15.2,78
2020,2020-05-04,Risnjak,Buteo buteo,Škanjac,9,točkasta_metoda,I.H.,22.1,58
2020,2020-05-04,Risnjak,Phoenicurus ochruros,Crvenrepka,11,točkasta_metoda,I.H.,10.1,51
2020,2020-05-04,Risnjak,Turdus merula,Kos,34,točkasta_metoda,D.T.,15.2,81
2020,2020-05-04,Risnjak,Accipiter gentilis,Jastreb kokošar,9,točkasta_metoda,S.B.,16.4,60
2020,2020-05-04,Risnjak,Fringilla coelebs,Zeba,46,transekt,M.K.,11.8,85
2020,2020-05-04,Risnjak,Tetrao urogallus,Tetrijeb,2,transekt,I.H.,20.3,55
2020,2020-05-04,Risnjak,Erithacus rubecula,Crvendać,24,IPA,S.B.,15.7,56
2020,2020-05-04,Risnjak,Dendrocopos major,Veliki djetlić,24,IPA,A.P.,14.9,68
2020,2020-05-04,Risnjak,Dryocopus martius,Crna žuna,7,transekt,S.B.,17.8,70
2020,2020-05-04,Risnjak,Parus major,Velika sjenica,39,IPA,S.B.,19.8,57
2020,2020-05-04,Risnjak,Cyanistes caeruleus,Plavetna sjenica,26,transekt,S.B.,12.6,54
2020,2020-05-05,Risnjak,Turdus merula,Kos,41,transekt,S.B.,17.6,74
2020,2020-05-05,Risnjak,Parus major,Velika sjenica,45,IPA,M.K.,10.1,62
2020,2020-05-05,Risnjak,Dryocopus martius,Crna žuna,10,transekt,S.B.,15.1,79
2020,2020-05-05,Risnjak,Cyanistes caeruleus,Plavetna sjenica,22,IPA,S.B.,16,56
2020,2020-05-05,Risnjak,Sitta europaea,Brgljez,27,IPA,I.H.,16.2,68
2020,2020-05-05,Risnjak,Buteo buteo,Škanjac,14,IPA,S.B.,18.2,54
2020,2020-05-05,Risnjak,Strix Uralskaensis,Uralska sova,11,IPA,A.P.,19.8,61
2020,2020-05-05,Risnjak,Aquila chrysaetos,Suri orao,2,transekt,A.P.,22,81
2020,2020-05-07,Plitvice,Phoenicurus ochruros,Crvenrepka,12,točkasta_metoda,A.P.,13.2,70
2020,2020-05-07,Plitvice,Cyanistes caeruleus,Plavetna sjenica,30,točkasta_metoda,A.P.,19.5,75
2020,2020-05-07,Plitvice,Sitta europaea,Brgljez,34,točkasta_metoda,I.H.,19.2,57
2020,2020-05-07,Plitvice,Tetrao urogallus,Tetrijeb,1,transekt,S.B.,19.8,59
2020,2020-05-07,Plitvice,Accipiter gentilis,Jastreb kokošar,2,točkasta_metoda,M.K.,18.3,67
2020,2020-05-07,Plitvice,Erithacus rubecula,Crvendać,18,IPA,I.H.,20.4,69
2020,2020-05-07,Plitvice,Turdus merula,Kos,30,transekt,M.K.,15.6,75
2020,2020-05-07,Plitvice,Parus major,Velika sjenica,35,IPA,M.K.,17.1,74
2020,2020-05-07,Plitvice,Anas platyrhynchos,Divlja patka,37,transekt,D.T.,17,75
2020,2020-05-07,Plitvice,Dendrocopos major,Veliki djetlić,10,IPA,M.K.,21.7,69
2020,2020-05-08,Plitvice,Buteo buteo,Škanjac,11,točkasta_metoda,M.K.,17.3,51
2020,2020-05-08,Plitvice,Erithacus rubecula,Crvendać,28,IPA,I.H.,12.9,64
2020,2020-05-08,Plitvice,Anas platyrhynchos,Divlja patka,46,točkasta_metoda,I.H.,18.3,85
2020,2020-05-08,Plitvice,Picus viridis,Zelena žuna,12,transekt,A.P.,16.4,53
2020,2020-05-08,Plitvice,Tetrao urogallus,Tetrijeb,5,IPA,D.T.,16.9,62
2020,2020-05-08,Plitvice,Dendrocopos major,Veliki djetlić,11,IPA,M.K.,18.2,81
2020,2020-05-08,Plitvice,Cyanistes caeruleus,Plavetna sjenica,30,IPA,M.K.,12.8,61
2020,2020-05-08,Plitvice,Corvus corax,Gavran,8,IPA,A.P.,14.5,69
2020,2020-05-08,Plitvice,Parus major,Velika sjenica,34,transekt,S.B.,19.4,76
2020,2020-05-08,Plitvice,Fringilla coelebs,Zeba,43,točkasta_metoda,S.B.,15.9,55
2020,2020-05-08,Plitvice,Dryocopus martius,Crna žuna,12,IPA,A.P.,13.3,51
2020,2020-05-08,Risnjak,Parus major,Velika sjenica,46,točkasta_metoda,M.K.,18.7,59
2020,2020-05-08,Risnjak,Phoenicurus ochruros,Crvenrepka,13,točkasta_metoda,A.P.,18,64
2020,2020-05-08,Risnjak,Strix Uralskaensis,Uralska sova,4,transekt,D.T.,20,81
2020,2020-05-08,Risnjak,Fringilla coelebs,Zeba,63,IPA,I.H.,18.9,75
2020,2020-05-08,Risnjak,Cyanistes caeruleus,Plavetna sjenica,21,IPA,M.K.,18.2,71
2020,2020-05-08,Risnjak,Dryocopus martius,Crna žuna,14,točkasta_metoda,M.K.,15.7,62
2020,2020-05-08,Risnjak,Dendrocopos major,Veliki djetlić,24,transekt,M.K.,17.1,62
2020,2020-05-08,Risnjak,Erithacus rubecula,Crvendać,25,točkasta_metoda,M.K.,16.8,62
2020,2020-05-08,Risnjak,Turdus merula,Kos,41,IPA,A.P.,19.4,58
2020,2020-05-15,Plitvice,Parus major,Velika sjenica,55,IPA,A.P.,,63
2020,2020-05-15,Plitvice,Cyanistes caeruleus,Plavetna sjenica,35,točkasta_metoda,D.T.,17.2,78
2020,2020-05-15,Plitvice,Accipiter gentilis,Jastreb kokošar,2,točkasta_metoda,A.P.,14.4,84
2020,2020-05-15,Plitvice,Anas platyrhynchos,Divlja patka,49,IPA,M.K.,21.4,55
2020,2020-05-15,Plitvice,Turdus merula,Kos,37,transekt,S.B.,15.5,68
2020,2020-05-15,Plitvice,Sitta europaea,Brgljez,20,IPA,S.B.,19.1,63
2020,2020-05-15,Plitvice,Phoenicurus ochruros,Crvenrepka,8,točkasta_metoda,D.T.,19,65
2020,2020-05-15,Plitvice,Erithacus rubecula,Crvendać,23,točkasta_metoda,A.P.,17.7,65
2020,2020-05-20,Velebit,Picus viridis,Zelena žuna,9,transekt,S.B.,14.7,78
2020,2020-05-20,Velebit,Cyanistes caeruleus,Plavetna sjenica,32,IPA,M.K.,18.7,59
2020,2020-05-20,Velebit,Fringilla coelebs,Zeba,49,IPA,M.K.,16,55
2020,2020-05-20,Velebit,Parus major,Velika sjenica,43,točkasta_metoda,A.P.,15,50
2020,2020-05-20,Velebit,Dendrocopos major,Veliki djetlić,19,točkasta_metoda,I.H.,20.9,60
2020,2020-05-20,Velebit,Turdus merula,Kos,41,točkasta_metoda,S.B.,20,61
2020,2020-05-20,Velebit,Corvus corax,Gavran,10,transekt,D.T.,14.9,74
2020,2020-05-20,Velebit,Dryocopus martius,Crna žuna,4,IPA,A.P.,19.1,73
2020,2020-05-20,Velebit,Sitta europaea,Brgljez,33,IPA,A.P.,15.1,60
2020,2020-05-23,Velebit,Accipiter gentilis,Jastreb kokošar,9,transekt,D.T.,12.8,55
2020,2020-05-23,Velebit,Phoenicurus ochruros,Crvenrepka,17,transekt,M.K.,20,61
2020,2020-05-23,Velebit,Turdus merula,Kos,40,IPA,A.P.,14.8,81
2020,2020-05-23,Velebit,Buteo buteo,Škanjac,9,točkasta_metoda,A.P.,19.4,63
2020,2020-05-23,Velebit,Parus major,Velika sjenica,37,IPA,D.T.,16.8,67
2020,2020-05-23,Velebit,Picus viridis,Zelena žuna,8,transekt,S.B.,14.5,77
2020,2020-05-23,Velebit,Sitta europaea,Brgljez,24,IPA,D.T.,16.8,59
2020,2020-05-23,Velebit,Cyanistes caeruleus,Plavetna sjenica,35,transekt,S.B.,18.1,62
2020,2020-05-23,Velebit,Dendrocopos major,Veliki djetlić,16,transekt,M.K.,20.5,84
2020,2020-05-23,Velebit,Tetrao urogallus,Tetrijeb,7,točkasta_metoda,M.K.,13.4,64
2020,2020-05-23,Velebit,Aquila chrysaetos,Suri orao,1,IPA,I.H.,15.3,67
2020,2020-06-03,Velebit,Erithacus rubecula,Crvendać,20,transekt,S.B.,16.6,72
2020,2020-06-03,Velebit,Cyanistes caeruleus,Plavetna sjenica,35,IPA,M.K.,20,72
2020,2020-06-03,Velebit,Buteo buteo,Škanjac,8,točkasta_metoda,A.P.,17.9,50
2020,2020-06-03,Velebit,Picus viridis,Zelena žuna,10,transekt,M.K.,18.5,69
2020,2020-06-03,Velebit,Phoenicurus ochruros,Crvenrepka,13,IPA,A.P.,23.1,56
2020,2020-06-03,Velebit,Corvus corax,Gavran,14,IPA,A.P.,19.1,59
2020,2020-06-03,Velebit,Sitta europaea,Brgljez,20,točkasta_metoda,D.T.,20,53
2020,2020-06-03,Velebit,Accipiter gentilis,Jastreb kokošar,11,IPA,A.P.,16.1,72
2020,2020-06-03,Velebit,Tetrao urogallus,Tetrijeb,3,točkasta_metoda,I.H.,21.5,50
2020,2020-06-03,Velebit,Dendrocopos major,Veliki djetlić,15,transekt,D.T.,20.9,58
2020,2020-06-04,Velebit,Parus major,Velika sjenica,40,transekt,D.T.,15.2,82
2020,2020-06-04,Velebit,Fringilla coelebs,Zeba,62,točkasta_metoda,S.B.,22.6,59
2020,2020-06-04,Velebit,Erithacus rubecula,Crvendać,23,točkasta_metoda,A.P.,17.2,73
2020,2020-06-04,Velebit,Accipiter gentilis,Jastreb kokošar,4,IPA,D.T.,17.8,83
2020,2020-06-04,Velebit,Cyanistes caeruleus,Plavetna sjenica,31,transekt,M.K.,21.1,70
2020,2020-06-04,Velebit,Aquila chrysaetos,Suri orao,4,transekt,S.B.,18.4,77
2020,2020-06-04,Velebit,Turdus merula,Kos,38,točkasta_metoda,S.B.,,57
2020,2020-06-04,Velebit,Strix Uralskaensis,Uralska sova,3,IPA,I.H.,19,64
2020,2020-06-04,Velebit,Corvus corax,Gavran,12,IPA,A.P.,21.1,54
2020,2020-06-04,Velebit,Buteo buteo,Škanjac,2,transekt,M.K.,21.1,52
2020,2020-06-04,Velebit,Phoenicurus ochruros,Crvenrepka,24,transekt,A.P.,11.3,61
2020,2020-06-04,Velebit,Tetrao urogallus,Tetrijeb,3,transekt,I.H.,21,76
